Canonical,Team,Numbers,Variations
William Yoakum,Bristol Flyers,3,William Yoakum
Zachary Anderson,Bristol Flyers,4,Zachary Anderson
Cameron Holden,Bristol Flyers,7,Cameron Holden
Jonathan Brown,Bristol Flyers,9,Jonathan Brown
Owen Mccormack,Bristol Flyers,13,Owen Mccormack
Marcus Delpeche,Bristol Flyers,21,Marcus Delpeche
Joseph Anderson,Bristol Flyers,22,Joseph Anderson
Milos Dugalic,Bristol Flyers,25,Milos Dugalic
Pasquale Landolfi,Bristol Flyers,40,Pasquale Landolfi
Darnell Brodie,Bristol Flyers,51,Darnell Brodie
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams
Prentiss Nixon,B. Braun Sheffield Sharks,2,Prentiss Nixon
Rodney Chatman Iii,B. Braun Sheffield Sharks,3,Rodney Chatman Iii
William Lee,B. Braun Sheffield Sharks,4,William Lee
Mervin James,B. Braun Sheffield Sharks,5,Mervin James
Reyad West,B. Braun Sheffield Sharks,6,Reyad West
Jordan Ratinho,B. Braun Sheffield Sharks,9,Jordan Ratinho
Rodney Glasgow Jr,B. Braun Sheffield Sharks,11,Rodney Glasgow Jr
Mike Ochereobia,B. Braun Sheffield Sharks,15,Mike Ochereobia
Jalen Deloach,B. Braun Sheffield Sharks,23,Jalen Deloach
Nick Kern Jr,B. Braun Sheffield Sharks,24,Nick Kern Jr
Oscar Curran,Leicester Riders,0,Oscar Curran
Michael Mitchell Jr,Leicester Riders,1,Michael Mitchell Jr
Duke Shelton,Leicester Riders,2/30,Duke Shelton
Travis Evee,Leicester Riders,3,Travis Evee
Emmanuel Akot,Leicester Riders,9,Emmanuel Akot
Spencer Johnson,Leicester Riders,20,Spencer Johnson
Victor Ndoukou,Leicester Riders,25,Victor Ndoukou
Nathaniel Martin,Leicester Riders,41,Nathaniel Martin
Seth Wylie,Leicester Riders,43,Seth Wylie
Flynn Boardman-Raffet,Leicester Riders,77,Flynn Boardman-Raffet
Ovie Soko,London Lions,0,Ovie Soko
Joel Scott,London Lions,1,Joel Scott
Ciaran Sandy,London Lions,3,Ciaran Sandy
Morayo Soluade,London Lions,6,Morayo Soluade
Ethan Price,London Lions,10,Ethan Price
Aaryndeep Rai,London Lions,21,Aaryn Rai; Aaryndeep Rai
Tarik Phillip,London Lions,22,Tarik Phillip
Kameron Mcgusty,London Lions,23,Kameron Mcgusty
Deane Williams,London Lions,31,Deane Williams
Shavar Reynolds Jr,London Lions,33,Shavar Reynolds Jr
Patrick Smith Jr,Manchester Basketball,0,Patrick Smith Jr
Kyle Carey,Manchester Basketball,1,Kyle Carey
Max Jones,Manchester Basketball,2,Max Jones
Oluwademilade Babalola,Manchester Basketball,10/3,Oluwademilade Babalola
Cody John,Manchester Basketball,5,Cody John
Zak Irvin,Manchester Basketball,7,Zak Irvin
Kaiyem Cleary,Manchester Basketball,9,Kaiyem Cleary
Luca Lara-Sanchez,Manchester Basketball,10,Luca Lara-Sanchez
Jordan Johnson,Manchester Basketball,11,Jordan Johnson
Kayne Henry,Manchester Basketball,13,Kayne Henry
Oluwaseyi Adetukasi,Manchester Basketball,22,Oluwaseyi Adetukasi
Judson Martindale,Manchester Basketball,33,Judson Martindale
Matthew Nicholson,Manchester Basketball,34/4,Matthew Nicholson
Greg Wild,Cheshire Phoenix,1,Greg Wild
Michael Diggins,Cheshire Phoenix,2,Michael Diggins
Laquincy Rideau,Cheshire Phoenix,3,Laquincy Rideau
Frankie Policelli,Cheshire Phoenix,5,Frankie Policelli
Lukasz Paradysz,Cheshire Phoenix,6,Lukasz Paradysz
Damiri Lindo,Cheshire Phoenix,9,Damiri Lindo
Tobias Cameron,Cheshire Phoenix,11,Tobias Cameron
Patrick Robinson,Cheshire Phoenix,13,Patrick Robinson
Rafi Pierre-Louis,Cheshire Phoenix,15,Rafi Pierre-Louis
Jaxon Brenchley,Cheshire Phoenix,23,Jaxon Brenchley
Matthew Zona,Cheshire Phoenix,24,Matthew Zona
Skyler White,Cheshire Phoenix,99,Skyler White
Kevin Allen,Caledonia Gladiators,0,Kevin Allen
Cael Sweeney,Caledonia Gladiators,4,Cael Sweeney
Jamie Adair,Caledonia Gladiators,2/3/5,Jamie Adair
Kyle Jimenez,Caledonia Gladiators,6,Kyle Jimenez
Fraser Malcolm,Caledonia Gladiators,7,Fraser Malcolm
Totonitoluwa Fagbenle,Caledonia Gladiators,11,Totonitoluwa Fagbenle
Daniel Carr,Caledonia Gladiators,14,Daniel Carr
Daylen Williams,Caledonia Gladiators,15,Daylen Williams
Matthew Ragsdale,Caledonia Gladiators,24,Matthew Ragsdale
Ethan Wright,Caledonia Gladiators,40,Ethan Wright
Josh Ward-Hibbert,Newcastle Eagles,2,Josh Ward-Hibbert
Ray'sean Taylor,Newcastle Eagles,3,Ray'sean Taylor
Sauveur Kande,Newcastle Eagles,9,Sauveur Kande
Maceo Jack,Newcastle Eagles,14,Maceo Jack
Cole Long,Newcastle Eagles,15,Cole Long
Emmanuel Kanwei,Newcastle Eagles,21,Emmanuel Kanwei
Brett Reed,Newcastle Eagles,24,Brett Reed
Marco Anthony,Newcastle Eagles,25,Marco Anthony
Mitch Clarke,Newcastle Eagles,41,Mitch Clarke
Malcolm Smith,Newcastle Eagles,45,Malcolm Smith
Mohammad Al-Amin Abdul Adamu,London Lions,5,Amin Adamu; Mohammad Al-Amin Abdul Adamu
Olutomiwa Sulaiman,Leicester Riders,10,Tomiwa Sulaiman; Olutomiwa Sulaiman
Isiah Small,Surrey 89ers,0,Isiah Small
Owen Koonce,Surrey 89ers,1,Owen Koonce
Andrew Lawrence,Surrey 89ers,4,Andrew Lawrence
Ronald Polite Iii,Surrey 89ers,7,Ronald Polite Iii
Kareem Queeley,Surrey 89ers,11,Kareem Queeley
Kino Lily Jr,Surrey 89ers,12,Kino Lily Jr
Tayo Ogedengbe,Surrey 89ers,15,Tayo Ogedengbe
Nedas Cholevinskas,Surrey 89ers,17,Nedas Cholevinskas
Timothy Nwanko,Surrey 89ers,19,Timothy Nwanko
Michael Graham,Surrey 89ers,21,Michael Graham
Haydn Ling,Surrey 89ers,55,Haydn Ling
Raequan Battle,Leicester Riders,21/7,Raequan Battle
Ria'n Holland,Caledonia Gladiators,10,Ria'n Holland; Rian Holland
Gabriel Osbuhein,Manchester Basketball,3,Gabriel Osbuhein
Michael Akintomide Akinsiku,Leicester Riders,0/5/8,Tomide Akinsiku; Michael Akintomide Akinsiku
Karolis Lukosiunas,London Lions,16,Karolis Lukosiunas
Matthew Goodwin,London Lions,22/55,Matthew Goodwin
Aaron Menzies,Leicester Riders,12,Aaron Menzies
Donald Carey Jr,Leicester Riders,13,Donald Carey Jr
Deion Hammond,Newcastle Eagles,8,Deion Hammond
Darius Defoe,Newcastle Eagles,13,Darius Defoe
Chasson Jermar Randle,London Lions,2,Chasson Jermar Randle
Gus Okafor,Newcastle Eagles,99,Gus Okafor
Andrew Michael Gordon,Caledonia Gladiators,33/38,Andrew Michael Gordon
Ryan Mikesell,London Lions,11,Ryan Mikesell
Marc Loving,Leicester Riders,2,Marc Loving
Joshua Smith-White,Surrey 89ers,1/33/44,Joshua Smith-White
Maximilian Coupe,Surrey 89ers,33/44,Maximilian Coupe
Dwaine Jones Jr,Caledonia Gladiators,5,Dwaine Jones Jr
Malcolm Delpeche,Caledonia Gladiators,15,Malcolm Delpeche
Lloyd Alvin Bryan Jr,Caledonia Gladiators,56,Lloyd Bryan Jr; Lloyd Alvin Bryan Jr
Terrell Burden Jr,Newcastle Eagles,1,Terrell Burden Jr
Di-Jani Parkinson,Surrey 89ers,33/9,Di-Jani Parkinson
Tyrin Lawrence,Surrey 89ers,10/33,Tyrin Lawrence
Johnathan Williams,London Lions,13,Johnathan Williams; Jonathan Williams
Evan Walshe,Bristol Flyers,77,Evan Walshe
Nino Satha,Caledonia Gladiators,4,Nino Satha
Nigel Hawkins,London Lions,8,Nigel Hawkins
Chaundee Brown Jr,London Lions,15,Chaundee Brown Jr
Timothy Nwankwo,Surrey 89ers,19,Timothy Nwankwo
Gabriel Osabuohien,Manchester Basketball,3,Gabriel Osabuohien
Cameron Christon,Bristol Flyers,1,Cameron Christon
Charles Jett Speelman,Caledonia Gladiators,22,Charles Jet Speelman; Charles Jett Speelman
Fahro Alihodzic,B. Braun Sheffield Sharks,25,Fahro Alihodzic
Jordan Kevin Williams,London Lions,4,Jordan Kevin Williams; Jordan Williams
Rj Eytle-Rock,Surrey 89ers,44,Rj Eytle-Rock
Kieran Otabor,Surrey 89ers,66,Kieran Otabor
Michael Joiner,Leicester Riders,9,Michael Joiner
Troy D'amico,B. Braun Sheffield Sharks,5,Troy D'amico
Kendrian Johnson,Leicester Riders,1,Kedrian Johnson; Kendrian Johnson
Xavier Bledson,Leicester Riders,5,Xavier Bledson
Donovan Mitchell,Manchester Basketball,8,Donovan Mitchell
Terrell Burden,Newcastle Eagles,1,Terrell Burden
